INFORMASI PRODUKSI LINE SS SHIFT 1,,,,,
Hari Tanggal,"Rabu, 8 April 2026",,,,
,,,,,
1. ABSENSI,3 MP (Lengkap),,,,
- Auto Bending,Arman - 1209,,,,
- Manual Bending,Alvito - 1521,,,,
- Inspection,Elsa - 1527,,,,
,,,,,
2. SAFETY & HEALTHY,OK,,,,
3. QUALITY,OK,,,,
,,,,,
4. RESULT PRODUCTION,,,,,
Kategori,Part Code,Jumlah (Pcs),Lot Number,,
Auto Bending,L1542,60,"P2604-02378, P2604-03019",,
Auto Bending,L1564,34,P2604-02375,,
Auto Bending,L8666,30,P2603-04067,,
Auto Bending,L8665,36,P2609-02381,,
TOTAL AUTO BENDING,,160,,,
Manual Bending,L6540,36,P2604-01341,,
Manual Bending,L8634,29,P2604-01349,,
Manual Bending,L4306,57,P2603-08311,,
Manual Bending,L4307,60,P2601-08656,,
Manual Bending,L6442,114,"P2603-08672, P2604-01348, P2603-08671",,
Manual Bending,L4295,60,P2602-00466,,
Manual Bending,L4382,60,P2604-02377,,
Manual Bending,L8639,24,P2603-07049,,
Manual Bending,L6459,1,P2604-00363,,
Manual Bending,L6571,2,P2604-00558,,
TOTAL MANUAL BENDING,,413,,,
TOTAL PRODUKSI,,603,,,
,,,,,
5. OVERTIME,"1209, 1521, 1216 (3 Jam)",,,,
6. PROBLEM 4M A,Tidak ada,,,,
Corrective Action,-,,,,
7. DEFEKT LAIN-LAIN,L6459 Drawing 1:1 Rework 100%,,,,
,,,,,
8. PLANNING VS ACTUAL,,,,,
Line,Target / Plan,Actual,Minus / Status,,
Line - S (Auto),132,160,Close,,
Manual Bending,370,413,Close,,
