Form No.,QP-04002-0013-3,,,,,,,,,,
Published,26-Dec-2022,Revision,03,Retention,15 TAHUN,Page,1,,,
Form Name,Production Operational Record,,,,,,,,,,
Date/Shift,9 Januari 2026,Process,"Manual Bending, Shape check jig, Drawing, Inspection",Line,S-02,NIK,"1209, 1527",,,
,,,,,,,,,,,
PART CODE,LOT NUMBER,CODE,START TIME,END TIME,MIN,QTY,OK,NG,HOLD,REMARK
,,2,07:50,08:00,10,,,,
,,3,08:00,08:10,10,,,,
,,8,08:10,08:20,10,,,,
L6940,P2510 - 06661,4,08:20,08:55,35,12,12,0,0,Drawing 1:1 Rework 100%
,,8,08:55,09:05,10,,,,,Drawing 1:1 Rework 100%
L6529,P2512 - 03558,4,09:05,09:35,30,36,36,0,0,
,,8,09:35,09:45,10,,,,
L6973,P2512 - 11374,4,09:45,10:15,30,12,12,0,0,Drawing 1:1 Rework 100%
,,8,10:15,10:25,10,,,,,Break 10
,,8,10:25,10:35,10,,,,
L6962,P2512 - 09531,4,10:35,10:50,15,10,10,0,0,Drawing 1:1 Rework 100%
,,8,10:50,11:00,10,,,,
L6989,P2510 - 06168,4,11:00,11:15,15,10,10,0,0,Drawing 1:1 Rework 100%
,,7,11:15,15:20,245,,,,,MP Running Auto Bending
,,8,15:20,15:35,15,,,,,Break 15
,,7,15:35,15:50,15,,,,
L6965,P2510 - 10927,4,15:55,16:15,20,6,6,0,0,Drawing 1:1 Rework 100%
,,8,16:15,16:25,10,,,,
L4382,P2601 - 02418,4,16:25,16:40,15,60,60,0,0,
L4382,P2601 - 02419,4,16:40,16:55,15,60,60,0,0,
,,9,16:55,17:00,5,,,,,ART 45
RESULT,,,, ,550,206,206,0,0,
